entidad,municipio,nEgresos,anho
1,1,5056,2008
1,3,321,2008
1,6,617,2008
1,7,749,2008
2,1,3221,2008
2,2,3784,2008
2,3,443,2008
2,4,5704,2008
2,5,492,2008
3,1,562,2008
3,2,405,2008
3,3,288,2008
3,8,1591,2008
4,1,91,2008
4,2,490,2008
4,3,1502,2008
4,4,353,2008
4,5,159,2008
4,6,135,2008
4,7,18,2008
4,10,100,2008
4,11,210,2008
5,2,809,2008
5,3,396,2008
5,7,64,2008
5,9,413,2008
5,11,7,2008
5,17,682,2008
5,18,1620,2008
5,20,527,2008
5,24,367,2008
5,25,1407,2008
5,27,521,2008
5,28,350,2008
5,30,2604,2008
5,31,325,2008
5,32,469,2008
5,33,514,2008
5,35,2546,2008
5,38,1,2008
6,2,1615,2008
6,6,1,2008
6,7,1094,2008
6,9,1163,2008
7,2,163,2008
7,4,158,2008
7,8,61,2008
7,9,295,2008
7,13,579,2008
7,17,263,2008
7,19,2180,2008
7,40,839,2008
7,51,688,2008
7,52,330,2008
7,57,564,2008
7,59,855,2008
7,61,669,2008
7,65,1089,2008
7,68,709,2008
7,78,1731,2008
7,89,2550,2008
7,96,67,2008
7,97,597,2008
7,101,3943,2008
7,106,427,2008
7,109,490,2008
7,114,290,2008
8,3,303,2008
8,9,631,2008
8,11,499,2008
8,17,1428,2008
8,19,3573,2008
8,21,1573,2008
8,25,299,2008
8,27,556,2008
8,29,309,2008
8,31,3,2008
8,32,1017,2008
8,36,404,2008
8,37,4229,2008
8,40,1,2008
8,50,777,2008
8,52,148,2008
8,62,2,2008
9,2,1441,2008
9,3,306,2008
9,5,4820,2008
9,6,1031,2008
9,7,4306,2008
9,8,1167,2008
9,9,1362,2008
9,10,4207,2008
9,11,1664,2008
9,12,2146,2008
9,13,1245,2008
9,14,1166,2008
9,15,3791,2008
9,16,4861,2008
9,17,2884,2008
10,1,28,2008
10,4,106,2008
10,5,3674,2008
10,7,2142,2008
10,8,432,2008
10,13,1,2008
10,14,63,2008
10,17,2,2008
10,18,87,2008
10,20,5,2008
10,21,4,2008
10,23,195,2008
10,24,177,2008
10,28,6,2008
10,32,468,2008
10,33,21,2008
10,34,39,2008
10,36,6,2008
10,38,363,2008
10,39,15,2008
11,1,134,2008
11,2,59,2008
11,3,851,2008
11,4,18,2008
11,5,241,2008
11,7,2863,2008
11,8,14,2008
11,9,207,2008
11,10,1,2008
11,11,255,2008
11,12,47,2008
11,14,782,2008
11,15,1336,2008
11,16,19,2008
11,17,2613,2008
11,19,83,2008
11,20,8453,2008
11,21,13,2008
11,23,832,2008
11,25,114,2008
11,26,264,2008
11,27,1335,2008
11,28,7,2008
11,30,237,2008
11,31,225,2008
11,32,272,2008
11,33,507,2008
11,34,27,2008
11,35,118,2008
11,37,640,2008
11,38,13,2008
11,39,50,2008
11,40,27,2008
11,41,694,2008
11,42,256,2008
11,44,25,2008
12,1,3716,2008
12,11,334,2008
12,12,465,2008
12,22,882,2008
12,28,579,2008
12,29,2075,2008
12,34,339,2008
12,35,1192,2008
12,38,929,2008
12,46,772,2008
12,50,51,2008
12,55,53,2008
12,66,1215,2008
13,3,459,2008
13,8,317,2008
13,11,94,2008
13,27,72,2008
13,28,1056,2008
13,29,424,2008
13,30,1131,2008
13,31,199,2008
13,35,615,2008
13,41,318,2008
13,48,3065,2008
13,53,194,2008
13,61,132,2008
13,63,144,2008
13,69,108,2008
13,73,333,2008
13,76,1097,2008
13,77,1163,2008
13,81,477,2008
14,6,361,2008
14,13,124,2008
14,15,737,2008
14,18,1306,2008
14,21,1,2008
14,22,72,2008
14,23,1317,2008
14,24,556,2008
14,25,48,2008
14,35,69,2008
14,37,93,2008
14,39,14325,2008
14,42,62,2008
14,43,83,2008
14,53,830,2008
14,55,570,2008
14,58,55,2008
14,63,368,2008
14,64,273,2008
14,65,1,2008
14,67,2138,2008
14,70,8,2008
14,73,277,2008
14,78,118,2008
14,82,364,2008
14,83,902,2008
14,85,193,2008
14,91,83,2008
14,93,996,2008
14,94,1,2008
14,100,151,2008
14,108,1,2008
14,114,13,2008
14,118,282,2008
14,120,3145,2008
14,121,1,2008
15,1,427,2008
15,2,505,2008
15,12,4,2008
15,13,2610,2008
15,14,779,2008
15,20,365,2008
15,21,10,2008
15,24,1940,2008
15,25,1944,2008
15,31,1815,2008
15,33,7300,2008
15,35,464,2008
15,37,224,2008
15,39,1369,2008
15,40,907,2008
15,42,758,2008
15,43,377,2008
15,45,876,2008
15,52,362,2008
15,57,2535,2008
15,58,4933,2008
15,64,71,2008
15,65,150,2008
15,67,46,2008
15,70,337,2008
15,74,1030,2008
15,80,49,2008
15,81,457,2008
15,82,694,2008
15,86,2,2008
15,87,665,2008
15,88,948,2008
15,94,48,2008
15,97,55,2008
15,99,821,2008
15,104,2939,2008
15,105,190,2008
15,106,4747,2008
15,110,712,2008
15,112,22,2008
15,114,125,2008
15,115,4,2008
15,117,17,2008
15,120,344,2008
15,122,1044,2008
15,123,59,2008
16,6,683,2008
16,9,714,2008
16,10,96,2008
16,14,56,2008
16,15,267,2008
16,24,242,2008
16,38,543,2008
16,52,1232,2008
16,53,4128,2008
16,55,103,2008
16,65,482,2008
16,66,475,2008
16,69,113,2008
16,71,2,2008
16,75,137,2008
16,76,663,2008
16,82,397,2008
16,87,2,2008
16,98,793,2008
16,102,2289,2008
16,107,150,2008
16,108,1743,2008
16,112,643,2008
17,3,468,2008
17,6,1811,2008
17,7,3092,2008
17,12,1131,2008
17,21,395,2008
17,29,142,2008
17,31,160,2008
18,1,122,2008
18,4,196,2008
18,6,176,2008
18,9,183,2008
18,10,439,2008
18,12,1,2008
18,15,1130,2008
18,16,99,2008
18,17,3189,2008
18,18,78,2008
18,20,781,2008
19,4,1,2008
19,9,9,2008
19,11,299,2008
19,14,348,2008
19,17,182,2008
19,26,6475,2008
19,33,448,2008
19,38,585,2008
19,39,2724,2008
19,44,395,2008
19,46,4655,2008
20,6,224,2008
20,14,182,2008
20,21,31,2008
20,26,233,2008
20,31,160,2008
20,39,908,2008
20,41,391,2008
20,42,69,2008
20,43,673,2008
20,57,435,2008
20,59,713,2008
20,67,3561,2008
20,79,179,2008
20,156,74,2008
20,158,39,2008
20,164,170,2008
20,177,252,2008
20,184,811,2008
20,190,158,2008
20,295,544,2008
20,324,1114,2008
20,327,178,2008
20,364,179,2008
20,397,472,2008
20,413,74,2008
20,467,564,2008
20,469,315,2008
20,482,604,2008
20,484,33,2008
20,515,351,2008
20,516,57,2008
20,551,518,2008
21,3,2,2008
21,4,206,2008
21,6,85,2008
21,10,115,2008
21,19,603,2008
21,25,88,2008
21,35,178,2008
21,44,90,2008
21,45,426,2008
21,47,415,2008
21,53,570,2008
21,67,89,2008
21,71,7,2008
21,72,68,2008
21,82,14,2008
21,83,30,2008
21,91,14,2008
21,94,435,2008
21,110,146,2008
21,111,60,2008
21,114,5712,2008
21,116,93,2008
21,132,660,2008
21,142,637,2008
21,145,85,2008
21,154,377,2008
21,155,116,2008
21,156,2122,2008
21,164,698,2008
21,169,337,2008
21,174,159,2008
21,177,116,2008
21,183,78,2008
21,191,47,2008
21,195,84,2008
21,197,726,2008
21,207,848,2008
21,208,303,2008
21,210,59,2008
21,217,45,2008
22,4,1067,2008
22,9,573,2008
22,14,5438,2008
22,16,206,2008
23,1,394,2008
23,2,426,2008
23,3,2,2008
23,4,1813,2008
23,5,3217,2008
23,6,12,2008
23,8,60,2008
24,3,340,2008
24,8,306,2008
24,10,52,2008
24,13,2058,2008
24,15,358,2008
24,16,103,2008
24,20,1065,2008
24,24,1005,2008
24,25,93,2008
24,28,2844,2008
24,37,1253,2008
24,40,46,2008
24,54,115,2008
24,58,4,2008
25,1,2526,2008
25,2,149,2008
25,3,98,2008
25,4,135,2008
25,5,156,2008
25,6,5527,2008
25,7,81,2008
25,8,10,2008
25,9,503,2008
25,10,386,2008
25,11,1616,2008
25,12,1964,2008
25,13,80,2008
25,14,246,2008
25,15,469,2008
25,16,60,2008
25,17,127,2008
25,18,607,2008
26,2,522,2008
26,3,71,2008
26,17,699,2008
26,18,2942,2008
26,19,229,2008
26,25,46,2008
26,29,1135,2008
26,30,4438,2008
26,33,83,2008
26,36,159,2008
26,38,124,2008
26,41,53,2008
26,42,1314,2008
26,43,1435,2008
26,48,631,2008
26,55,866,2008
26,58,12,2008
26,66,28,2008
27,1,338,2008
27,2,1332,2008
27,3,4,2008
27,4,7052,2008
27,5,23,2008
27,6,746,2008
27,7,294,2008
27,8,869,2008
27,9,91,2008
27,10,91,2008
27,12,1026,2008
27,13,133,2008
27,14,435,2008
27,15,123,2008
27,16,620,2008
27,17,381,2008
28,2,84,2008
28,9,1528,2008
28,17,11,2008
28,21,1077,2008
28,22,2293,2008
28,27,1835,2008
28,32,2806,2008
28,35,399,2008
28,37,169,2008
28,38,1691,2008
28,39,240,2008
28,41,2534,2008
29,5,169,2008
29,6,520,2008
29,7,107,2008
29,18,95,2008
29,25,321,2008
29,33,976,2008
29,34,126,2008
29,38,1176,2008
29,44,166,2008
30,10,605,2008
30,11,79,2008
30,13,260,2008
30,16,278,2008
30,21,37,2008
30,32,314,2008
30,34,90,2008
30,38,443,2008
30,39,1951,2008
30,44,1778,2008
30,45,910,2008
30,47,607,2008
30,58,585,2008
30,61,5,2008
30,66,170,2008
30,69,103,2008
30,71,499,2008
30,72,143,2008
30,77,319,2008
30,82,221,2008
30,83,91,2008
30,87,3628,2008
30,89,526,2008
30,91,89,2008
30,97,96,2008
30,102,928,2008
30,104,327,2008
30,108,1441,2008
30,109,500,2008
30,116,757,2008
30,117,20,2008
30,118,156,2008
30,121,81,2008
30,123,442,2008
30,124,967,2008
30,128,349,2008
30,130,93,2008
30,131,1369,2008
30,138,1428,2008
30,141,859,2008
30,143,440,2008
30,155,319,2008
30,161,127,2008
30,164,118,2008
30,173,340,2008
30,174,730,2008
30,178,49,2008
30,181,182,2008
30,183,215,2008
30,184,311,2008
30,189,837,2008
30,193,4286,2008
30,201,446,2008
30,206,8,2008
30,210,106,2008
31,2,200,2008
31,40,180,2008
31,48,173,2008
31,50,5373,2008
31,52,83,2008
31,56,410,2008
31,59,15,2008
31,96,627,2008
31,101,287,2008
32,5,66,2008
32,7,224,2008
32,10,2085,2008
32,17,2633,2008
32,19,150,2008
32,20,473,2008
32,22,187,2008
32,23,71,2008
32,24,108,2008
32,34,73,2008
32,36,134,2008
32,38,535,2008
32,39,475,2008
32,42,59,2008
32,44,31,2008
32,48,207,2008
32,49,138,2008
32,51,25,2008
32,55,174,2008
32,56,349,2008
32,57,62,2008
NA,NA,27062,2008
